marca,nombre,link,rank_marca
Natura,Essencial Sentir,https://www.fragrantica.com/perfume/Natura/Essencial-Sentir-98848.html,1
Natura,Homem Essence,https://www.fragrantica.com/perfume/Natura/Homem-Essence-40309.html,2
Natura,Essencial Unico,https://www.fragrantica.com/perfume/Natura/Essencial-Unico-72417.html,3
Natura,Homem Sagaz,https://www.fragrantica.com/perfume/Natura/Homem-Sagaz-48965.html,4
Natura,Essencial Oud,https://www.fragrantica.com/perfume/Natura/Essencial-Oud-52563.html,5
Natura,Essencial Sentir,https://www.fragrantica.com/perfume/Natura/Essencial-Sentir-98845.html,6
Natura,Ilia Completa,https://www.fragrantica.com/perfume/Natura/Ilia-Completa-83524.html,7
Natura,Ilia Secreto,https://www.fragrantica.com/perfume/Natura/Ilia-Secreto-48977.html,8
Natura,Ryo Chuva,https://www.fragrantica.com/perfume/Natura/Ryo-Chuva-95475.html,9
Natura,Una Blush,https://www.fragrantica.com/perfume/Natura/Una-Blush-57188.html,10
Natura,Conexao de Humor,https://www.fragrantica.com/perfume/Natura/Conexao-de-Humor-93130.html,11
Natura,Aura Alba,https://www.fragrantica.com/perfume/Natura/Aura-Alba-104821.html,12
Natura,Homem Cor Agio,https://www.fragrantica.com/perfume/Natura/Homem-Cor-Agio-53469.html,13
Natura,Homem Dom,https://www.fragrantica.com/perfume/Natura/Homem-Dom-56083.html,14
Natura,Homem Tato,https://www.fragrantica.com/perfume/Natura/Homem-Tato-68157.html,15
Natura,K Max,https://www.fragrantica.com/perfume/Natura/K-Max-55558.html,16
Natura,Essencial Atrai,https://www.fragrantica.com/perfume/Natura/Essencial-Atrai-104268.html,17
Natura,Kaiak,https://www.fragrantica.com/perfume/Natura/Kaiak-13237.html,18
Natura,Homem,https://www.fragrantica.com/perfume/Natura/Homem-26088.html,19
Natura,Una Artisan,https://www.fragrantica.com/perfume/Natura/Una-Artisan-46579.html,20
Natura,Essencial Atrai,https://www.fragrantica.com/perfume/Natura/Essencial-Atrai-105701.html,21
Natura,Kaiak Urbe,https://www.fragrantica.com/perfume/Natura/Kaiak-Urbe-26136.html,22
Natura,Ilia,https://www.fragrantica.com/perfume/Natura/Ilia-42442.html,23
Natura,Kaiak Aero,https://www.fragrantica.com/perfume/Natura/Kaiak-Aero-48944.html,24
Natura,Luna,https://www.fragrantica.com/perfume/Natura/Luna-31811.html,25
Jo Malone London,Wood Sage Sea Salt,https://www.fragrantica.com/perfume/Jo-Malone-London/Wood-Sage-Sea-Salt-25529.html,1
Jo Malone London,English Pear Freesia,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Pear-Freesia-10314.html,2
Jo Malone London,Myrrh Tonka,https://www.fragrantica.com/perfume/Jo-Malone-London/Myrrh-Tonka-42027.html,3
Jo Malone London,Blackberry Bay,https://www.fragrantica.com/perfume/Jo-Malone-London/Blackberry-Bay-15134.html,4
Jo Malone London,Peony Blush Suede,https://www.fragrantica.com/perfume/Jo-Malone-London/Peony-Blush-Suede-18767.html,5
Jo Malone London,Wild Bluebell,https://www.fragrantica.com/perfume/Jo-Malone-London/Wild-Bluebell-12310.html,6
Jo Malone London,Nectarine Blossom amp Honey,https://www.fragrantica.com/perfume/Jo-Malone-London/Nectarine-Blossom-amp-Honey-3782.html,7
Jo Malone London,Cypress Grapevine Cologne Intense,https://www.fragrantica.com/perfume/Jo-Malone-London/Cypress-Grapevine-Cologne-Intense-61928.html,8
Jo Malone London,Scarlet Poppy Intense,https://www.fragrantica.com/perfume/Jo-Malone-London/Scarlet-Poppy-Intense-64551.html,9
Jo Malone London,Lime Basil Mandarin,https://www.fragrantica.com/perfume/Jo-Malone-London/Lime-Basil-Mandarin-5585.html,10
Jo Malone London,Ginger Biscuit Cologne 2023,https://www.fragrantica.com/perfume/Jo-Malone-London/Ginger-Biscuit-Cologne-2023-87708.html,11
Jo Malone London,Velvet Rose Oud,https://www.fragrantica.com/perfume/Jo-Malone-London/Velvet-Rose-Oud-15286.html,12
Jo Malone London,Pomegranate Noir,https://www.fragrantica.com/perfume/Jo-Malone-London/Pomegranate-Noir-5581.html,13
Jo Malone London,Mimosa Cardamom,https://www.fragrantica.com/perfume/Jo-Malone-London/Mimosa-Cardamom-31825.html,14
Jo Malone London,Raspberry Ripple,https://www.fragrantica.com/perfume/Jo-Malone-London/Raspberry-Ripple-108293.html,15
Jo Malone London,Oud Bergamot,https://www.fragrantica.com/perfume/Jo-Malone-London/Oud-Bergamot-12928.html,16
Jo Malone London,Orange Blossom,https://www.fragrantica.com/perfume/Jo-Malone-London/Orange-Blossom-2279.html,17
Jo Malone London,English Pear Sweet Pea,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Pear-Sweet-Pea-84035.html,18
Jo Malone London,Scarlet Poppy Cologne Intense,https://www.fragrantica.com/perfume/Jo-Malone-London/Scarlet-Poppy-Cologne-Intense-79435.html,19
Jo Malone London,Hinoki Cedarwood,https://www.fragrantica.com/perfume/Jo-Malone-London/Hinoki-Cedarwood-96902.html,20
Jo Malone London,Red Hibiscus,https://www.fragrantica.com/perfume/Jo-Malone-London/Red-Hibiscus-89314.html,21
Jo Malone London,Beach Blossom Limited Edition,https://www.fragrantica.com/perfume/Jo-Malone-London/Beach-Blossom-Limited-Edition-103305.html,22
Jo Malone London,Poppy Barley,https://www.fragrantica.com/perfume/Jo-Malone-London/Poppy-Barley-56152.html,23
Jo Malone London,English Oak Hazelnut,https://www.fragrantica.com/perfume/Jo-Malone-London/English-Oak-Hazelnut-46187.html,24
Jo Malone London,Earl Grey Cucumber,https://www.fragrantica.com/perfume/Jo-Malone-London/Earl-Grey-Cucumber-79437.html,25
Montale,Arabians Tonka,https://www.fragrantica.com/perfume/Montale/Arabians-Tonka-57384.html,1
Montale,Chocolate Greedy,https://www.fragrantica.com/perfume/Montale/Chocolate-Greedy-2186.html,2
Montale,Intense Cafe,https://www.fragrantica.com/perfume/Montale/Intense-Cafe-18021.html,3
Montale,Honey Aoud,https://www.fragrantica.com/perfume/Montale/Honey-Aoud-30509.html,4
Montale,Vanilla Cake,https://www.fragrantica.com/perfume/Montale/Vanilla-Cake-48948.html,5
Montale,Roses Musk,https://www.fragrantica.com/perfume/Montale/Roses-Musk-1148.html,6
Montale,Infinity,https://www.fragrantica.com/perfume/Montale/Infinity-81773.html,7
Montale,Vanille Absolu,https://www.fragrantica.com/perfume/Montale/Vanille-Absolu-4064.html,8
Montale,Dallachai,https://www.fragrantica.com/perfume/Montale/Dallachai-97830.html,9
Montale,Soleil de Capri,https://www.fragrantica.com/perfume/Montale/Soleil-de-Capri-3767.html,10
Montale,Sweet Vanilla,https://www.fragrantica.com/perfume/Montale/Sweet-Vanilla-39411.html,11
Montale,Mukhallat,https://www.fragrantica.com/perfume/Montale/Mukhallat-3241.html,12
Montale,Arabians Musk,https://www.fragrantica.com/perfume/Montale/Arabians-Musk-97829.html,13
Montale,Bubble Forever,https://www.fragrantica.com/perfume/Montale/Bubble-Forever-90739.html,14
Montale,Ristretto Intense Cafe,https://www.fragrantica.com/perfume/Montale/Ristretto-Intense-Cafe-55001.html,15
Montale,Oud Tobacco,https://www.fragrantica.com/perfume/Montale/Oud-Tobacco-61494.html,16
Montale,Full Incense,https://www.fragrantica.com/perfume/Montale/Full-Incense-9556.html,17
Montale,Black Aoud,https://www.fragrantica.com/perfume/Montale/Black-Aoud-1142.html,18
Montale,Dark Vanilla,https://www.fragrantica.com/perfume/Montale/Dark-Vanilla-64050.html,19
Montale,Starry Nights,https://www.fragrantica.com/perfume/Montale/Starry-Nights-31771.html,20
