marca,nombre,link,rank_marca
Lattafa Perfumes,Khamrah,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-75805.html,1
Lattafa Perfumes,Khamrah Qahwa,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Khamrah-Qahwa-88175.html,2
Lattafa Perfumes,Eclaire,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Eclaire-93628.html,3
Lattafa Perfumes,Asad,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-72821.html,4
Lattafa Perfumes,Yara,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Yara-76880.html,5
Lattafa Perfumes,Asad Bourbon,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Asad-Bourbon-101124.html,6
Lattafa Perfumes,Bade e Al Oud Honor Glory,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Honor-Glory-84302.html,7
Lattafa Perfumes,Angham,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Angham-96768.html,8
Lattafa Perfumes,Teriaq Intense,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Teriaq-Intense-99586.html,9
Lattafa Perfumes,Fakhar Black,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Fakhar-Black-70465.html,10
Lattafa Perfumes,Vintage Radio,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Vintage-Radio-89454.html,11
Lattafa Perfumes,Nebras,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Nebras-78560.html,12
Lattafa Perfumes,Qaed Al Fursan,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Qaed-Al-Fursan-67996.html,13
Lattafa Perfumes,Liam,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Liam-85097.html,14
Lattafa Perfumes,Her Confession,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Her-Confession-96864.html,15
Lattafa Perfumes,Bade e Al Oud Oud for Glory,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Oud-for-Glory-64948.html,16
Lattafa Perfumes,Art Of Universe,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Art-Of-Universe-101314.html,17
Lattafa Perfumes,His Confession,https://www.fragrantica.com/perfume/Lattafa-Perfumes/His-Confession-96866.html,18
Lattafa Perfumes,Victoria,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Victoria-102906.html,19
Lattafa Perfumes,The Kingdom For Men,https://www.fragrantica.com/perfume/Lattafa-Perfumes/The-Kingdom-For-Men-97995.html,20
Lattafa Perfumes,Maahir Legacy,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Maahir-Legacy-82727.html,21
